Order Event,Fix_Col_0,FirmROID,MsgType,CAT_IM_ID,Date,Order ID,Symbol,Fix_Col_1,Date TimeStamp,Fix_Col_2,Fix_Col_3,Fix_Col_4,Sender_IM_ID,Receiver_IM_ID,Firm_Exchange,Routed_OrderID,Fix_Col_5,SideType,Price,Quantity,Fix_Col_6,OrderType,TIF,Trading_Session,Fix_Col_7,Fix_Col_8,Fix_Col_9,Fix_Col_10,Fix_Col_11,Fix_Col_12,Fix_Col_13,Fix_Col_14,Fix_Col_15,Fix_Col_16,Fix_Col_17
NEW,,20240513_CAT-VCVW-61,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-20,NCV PRA,,20240513T160000.310000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-350671,,SL,22.12,100,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-62,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-21,TRTX PRC,,20240513T160000.129000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-434693,,SS,17.81,100,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-63,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-22,CIM PRA,,20240513T160001.267000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-268154,,SS,20.69,100,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-64,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-23,BIPH,,20240513T160000.438000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-283832,,B,17.16,500,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-65,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-24,FITBP,,20240513T160001.267000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-419307,,B,23.66,100,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-66,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-25,AFGD,,20240513T160001.285000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-434232,,SL,22.99,101,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-67,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-26,BC PRC,,20240513T160001.165000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-345024,,B,24.34,100,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-68,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-27,WTFCM,,20240513T160000.734000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-456114,,B,24.41,100,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-69,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-28,ACGLO,,20240513T160000.544000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-459303,,B,22.66,189,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-70,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-29,BFS PRD,,20240513T160001.175000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-432239,,B,20.48,100,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-71,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-30,ONBPP,,20240513T160000.645000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-311341,,B,24.44,100,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-72,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-31,ONBPP,,20240513T160001.360000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-311340,,B,24.44,100,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-73,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-32,CCLDP,,20240513T160000.980000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-307542,,B,7.05,1000,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-74,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-33,PNFPP,,20240513T160001.346000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-258998,,B,23.28,100,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-75,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-34,DHCNI,,20240513T160001.355000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-343490,,SL,13.19,100,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-76,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-35,LANDP,,20240513T160001.187000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-304650,,B,19.22,100,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-77,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-36,KREF PRA,,20240513T160001.193000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-430153,,SS,19.43,95,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-78,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-37,KREF PRA,,20240513T160001.191000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-430150,,SL,19.43,2,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-79,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-38,BANFP,,20240513T160001.399000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-343061,,B,25.03,100,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-80,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-39,DCOMP,,20240513T160001.413000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-378725,,B,16.84,100,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-81,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-40,TECTP,,20240513T160001.147000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-379584,,B,10.13,100,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
NEW,,20240513_CAT-VCVW-82,MEOR,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-41,BANFP,,20240513T160001.667000000,False,False,,126588:VCVW,7897:INCA,F,VCTY-TAK2-343062,,B,23.66,900,,LMT,GTX=20240513,ALL,False,NA,False,False,,False,,,,,
